filter_spec,CC_max_is_a_distance,MF_max_is_a_distance,false_positives,false_negatives,total_mismatches,exact_columns,at_least_99pct,at_least_95pct
best_global_after_qualifier_exclusion,7,99,13,30,43,106,121,121
best_global_after_qualifier_exclusion,8,0,13,10822,10835,97,112,112
best_global_after_qualifier_exclusion,8,1,13,9683,9696,97,113,113
best_global_after_qualifier_exclusion,8,2,13,7267,7280,97,113,114
best_global_after_qualifier_exclusion,8,3,13,4255,4268,98,113,117
best_global_after_qualifier_exclusion,8,4,13,2090,2103,99,114,119
best_global_after_qualifier_exclusion,8,5,13,889,902,99,116,119
best_global_after_qualifier_exclusion,8,6,13,383,396,101,118,121
best_global_after_qualifier_exclusion,8,7,13,117,130,103,120,121
best_global_after_qualifier_exclusion,8,8,13,21,34,105,121,121
best_global_after_qualifier_exclusion,8,9,13,5,18,106,121,121
best_global_after_qualifier_exclusion,8,10,13,3,16,107,121,121
best_global_after_qualifier_exclusion,8,11,13,3,16,107,121,121
best_global_after_qualifier_exclusion,8,12,13,3,16,107,121,121
best_global_after_qualifier_exclusion,8,99,13,3,16,107,121,121
best_global_after_qualifier_exclusion,9,0,13,10819,10832,98,112,112
best_global_after_qualifier_exclusion,9,1,13,9680,9693,98,113,113
best_global_after_qualifier_exclusion,9,2,13,7264,7277,98,113,114
best_global_after_qualifier_exclusion,9,3,13,4252,4265,99,113,117
best_global_after_qualifier_exclusion,9,4,13,2087,2100,100,114,119
best_global_after_qualifier_exclusion,9,5,13,886,899,100,116,119
best_global_after_qualifier_exclusion,9,6,13,380,393,102,118,121
best_global_after_qualifier_exclusion,9,7,13,114,127,104,120,121
best_global_after_qualifier_exclusion,9,8,13,18,31,106,121,121
best_global_after_qualifier_exclusion,9,9,13,2,15,107,121,121
best_global_after_qualifier_exclusion,9,10,13,0,13,108,121,121
best_global_after_qualifier_exclusion,9,11,13,0,13,108,121,121
best_global_after_qualifier_exclusion,9,12,13,0,13,108,121,121
best_global_after_qualifier_exclusion,9,99,13,0,13,108,121,121
best_global_after_qualifier_exclusion,10,0,13,10819,10832,98,112,112
best_global_after_qualifier_exclusion,10,1,13,9680,9693,98,113,113
best_global_after_qualifier_exclusion,10,2,13,7264,7277,98,113,114
best_global_after_qualifier_exclusion,10,3,13,4252,4265,99,113,117
best_global_after_qualifier_exclusion,10,4,13,2087,2100,100,114,119
best_global_after_qualifier_exclusion,10,5,13,886,899,100,116,119
best_global_after_qualifier_exclusion,10,6,13,380,393,102,118,121
best_global_after_qualifier_exclusion,10,7,13,114,127,104,120,121
best_global_after_qualifier_exclusion,10,8,13,18,31,106,121,121
best_global_after_qualifier_exclusion,10,9,13,2,15,107,121,121
best_global_after_qualifier_exclusion,10,10,13,0,13,108,121,121
best_global_after_qualifier_exclusion,10,11,13,0,13,108,121,121
best_global_after_qualifier_exclusion,10,12,13,0,13,108,121,121
best_global_after_qualifier_exclusion,10,99,13,0,13,108,121,121
best_global_after_qualifier_exclusion,11,0,13,10819,10832,98,112,112
best_global_after_qualifier_exclusion,11,1,13,9680,9693,98,113,113
best_global_after_qualifier_exclusion,11,2,13,7264,7277,98,113,114
best_global_after_qualifier_exclusion,11,3,13,4252,4265,99,113,117
best_global_after_qualifier_exclusion,11,4,13,2087,2100,100,114,119
best_global_after_qualifier_exclusion,11,5,13,886,899,100,116,119
best_global_after_qualifier_exclusion,11,6,13,380,393,102,118,121
best_global_after_qualifier_exclusion,11,7,13,114,127,104,120,121
best_global_after_qualifier_exclusion,11,8,13,18,31,106,121,121
best_global_after_qualifier_exclusion,11,9,13,2,15,107,121,121
best_global_after_qualifier_exclusion,11,10,13,0,13,108,121,121
best_global_after_qualifier_exclusion,11,11,13,0,13,108,121,121
best_global_after_qualifier_exclusion,11,12,13,0,13,108,121,121
best_global_after_qualifier_exclusion,11,99,13,0,13,108,121,121
best_global_after_qualifier_exclusion,12,0,13,10819,10832,98,112,112
best_global_after_qualifier_exclusion,12,1,13,9680,9693,98,113,113
best_global_after_qualifier_exclusion,12,2,13,7264,7277,98,113,114
best_global_after_qualifier_exclusion,12,3,13,4252,4265,99,113,117
best_global_after_qualifier_exclusion,12,4,13,2087,2100,100,114,119
best_global_after_qualifier_exclusion,12,5,13,886,899,100,116,119
best_global_after_qualifier_exclusion,12,6,13,380,393,102,118,121
best_global_after_qualifier_exclusion,12,7,13,114,127,104,120,121
best_global_after_qualifier_exclusion,12,8,13,18,31,106,121,121
best_global_after_qualifier_exclusion,12,9,13,2,15,107,121,121
best_global_after_qualifier_exclusion,12,10,13,0,13,108,121,121
best_global_after_qualifier_exclusion,12,11,13,0,13,108,121,121
best_global_after_qualifier_exclusion,12,12,13,0,13,108,121,121
best_global_after_qualifier_exclusion,12,99,13,0,13,108,121,121
best_global_after_qualifier_exclusion,99,0,13,10819,10832,98,112,112
best_global_after_qualifier_exclusion,99,1,13,9680,9693,98,113,113
best_global_after_qualifier_exclusion,99,2,13,7264,7277,98,113,114
best_global_after_qualifier_exclusion,99,3,13,4252,4265,99,113,117
best_global_after_qualifier_exclusion,99,4,13,2087,2100,100,114,119
best_global_after_qualifier_exclusion,99,5,13,886,899,100,116,119
best_global_after_qualifier_exclusion,99,6,13,380,393,102,118,121
best_global_after_qualifier_exclusion,99,7,13,114,127,104,120,121
best_global_after_qualifier_exclusion,99,8,13,18,31,106,121,121
best_global_after_qualifier_exclusion,99,9,13,2,15,107,121,121
best_global_after_qualifier_exclusion,99,10,13,0,13,108,121,121
best_global_after_qualifier_exclusion,99,11,13,0,13,108,121,121
best_global_after_qualifier_exclusion,99,12,13,0,13,108,121,121
best_global_after_qualifier_exclusion,99,99,13,0,13,108,121,121
