version,scope,label_column,best_mismatches,best_agreement,best_set_names,best_set_tie_count
5.0,ALL,82,859,0.7987347703842549,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.0,ALL,83,740,0.8266166822867854,PROTEIN_KINASE_ACTIVITY,1
5.0,ALL,84,456,0.8931583880037488,TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS,1
5.0,ALL,85,2098,0.5084348641049672,CYTOPLASM,1
5.0,ALL,86,307,0.9280693533270853,RNA_BINDING|REACTOME_MRNA_SPLICING,2
5.0,ALL,87,986,0.7689784442361762,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.0,ALL,88,869,0.7963917525773196,TRANSCRIPTION,1
5.0,ALL,89,671,0.8427835051546392,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,1
5.0,ALL,90,590,0.8617619493908154,POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION,1
5.0,ALL,91,735,0.827788191190253,PROTEIN_MODIFICATION_PROCESS,1
5.0,ALL,92,966,0.7736644798500468,BIOPOLYMER_METABOLIC_PROCESS,1
5.0,ALL,93,626,0.8533270852858481,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS|POSITIVE_REGULATION_OF_TRANSCRIPTION,2
5.0,ALL,94,815,0.8090440487347703,ORGAN_DEVELOPMENT,1
5.0,ALL,95,1016,0.7619493908153702,BIOPOLYMER_MODIFICATION,1
5.0,ALL,96,599,0.8596532333645736,RESPONSE_TO_STRESS,1
5.0,ALL,97,1309,0.6932989690721649,BIOPOLYMER_METABOLIC_PROCESS,1
5.0,ALL,98,1402,0.6715089034676663,REGULATION_OF_METABOLIC_PROCESS,1
