model,filter,row_order,ancestor_order,key_mode,lcs,kendall_tau,pairwise_concordance,exact_positions,exact_prefix,duplicate_flips,unique_dictionary_terms,input_terms,table_size,outer_kind,inner_kind,outer_count,pair_kind,set_policy,pair_count,mask_bits
ontology_sorted_primary,,,,GO_ID,38,0.2360881542699724,0.6180440771349862,1,0,011,44797,44797,,,,,,,,
ontology_obo_primary_plus_alt,,,,GO_ID,36,0.2162534435261708,0.6081267217630854,0,0,011,46672,46672,,,,,,,,
ontology_name_sorted,,,,GO_ID,36,0.2121212121212121,0.6060606060606061,2,0,011,44797,44797,,,,,,,,
raw_hash_bucket_proxy,,,,GO_ID,32,0.1977961432506887,0.5988980716253444,1,0,011,121,121,262144.0,,,,,,,18.0
raw_hash_bucket_proxy,,,,GO_ID,30,0.16528925619834708,0.5826446280991735,1,0,011,121,121,524288.0,,,,,,,19.0
raw_hash_bucket_proxy,,,,GO_ID,30,0.09944903581267216,0.549724517906336,2,0,010,121,121,1024.0,,,,,,,10.0
raw_hash_bucket_proxy,,,,GO_ID,27,-0.0024793388429752063,0.4987603305785124,5,0,011,121,121,2048.0,,,,,,,11.0
raw_hash_bucket_proxy,,,,GO_ID,25,0.005234159779614324,0.5026170798898072,1,0,100,121,121,4096.0,,,,,,,12.0
ontology_obo_primary_plus_alt,,,,GO_ID_no_colon,23,0.11928374655647381,0.5596418732782369,2,0,100,46672,46672,,,,,,,,
ontology_obo_primary,,,,GO_ID_no_colon,23,0.11845730027548207,0.559228650137741,1,0,100,44797,44797,,,,,,,,
ontology_sorted_primary,,,,GO_ID_no_colon,23,0.11845730027548207,0.559228650137741,1,0,100,44797,44797,,,,,,,,
ontology_name_sorted,,,,GO_ID_no_colon,23,0.08732782369146004,0.54366391184573,1,0,100,44797,44797,,,,,,,,
raw_hash_bucket_proxy,,,,GO_ID,23,0.04380165289256198,0.521900826446281,1,0,010,121,121,512.0,,,,,,,9.0
raw_hash_bucket_proxy,,,,GO_ID,23,-0.0057851239669421475,0.4971074380165289,1,0,010,121,121,256.0,,,,,,,8.0
ontology_name_sorted,,,,tuple_namespace_GO,22,0.09504132231404958,0.5475206611570248,2,0,011,44797,44797,,,,,,,,
ontology_obo_primary,,,,tuple_namespace_GO,22,0.05950413223140495,0.5297520661157025,0,0,011,44797,44797,,,,,,,,
ontology_sorted_primary,,,,tuple_namespace_GO,22,0.05950413223140495,0.5297520661157025,0,0,011,44797,44797,,,,,,,,
ontology_obo_primary_plus_alt,,,,tuple_namespace_GO,22,0.055096418732782364,0.5275482093663911,0,0,011,46672,46672,,,,,,,,
raw_hash_bucket_proxy,,,,GO_ID,22,0.01790633608815427,0.5089531680440771,3,0,011,121,121,128.0,,,,,,,7.0
first_direct_then_ancestors,exact_all_accessions,source,sorted_asc,GO_name,22,-0.009090909090909089,0.4954545454545455,0,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,source,bfs_obo,GO_name,22,-0.009090909090909089,0.4954545454545455,0,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,source,py2set_dfs_35,GO_name,22,-0.009090909090909089,0.4954545454545455,0,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,sorted_asc,GO_name,22,-0.009090909090909089,0.4954545454545455,0,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,bfs_obo,GO_name,22,-0.009090909090909089,0.4954545454545455,0,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,py2set_dfs_35,GO_name,22,-0.009090909090909089,0.4954545454545455,0,0,011,16357,186381,,,,,,,,
raw_hash_bucket_proxy,,,,MSigDB_standard_name,22,-0.08347107438016528,0.45826446280991734,1,0,110,121,121,2048.0,,,,,,,11.0
raw_hash_bucket_proxy,,,,GO_numeric_int,21,0.0865013774104683,0.5432506887052342,1,0,001,121,121,65536.0,,,,,,,16.0
raw_hash_bucket_proxy,,,,MSigDB_standard_name,21,0.07134986225895316,0.5356749311294766,2,0,001,121,121,262144.0,,,,,,,18.0
ontology_obo_primary_plus_alt,,,,GO_pipe_name,21,0.033608815426997236,0.5168044077134987,0,0,010,46672,46672,,,,,,,,
raw_hash_bucket_proxy,,,,GO_numeric_int,21,0.02892561983471074,0.5144628099173554,1,0,001,121,121,512.0,,,,,,,9.0
first_direct_then_ancestors,exact_historical_mapped,source,sorted_asc,GO_name,21,-0.006611570247933883,0.49669421487603305,0,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,bfs_obo,GO_name,21,-0.006611570247933883,0.49669421487603305,0,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,py2set_dfs_35,GO_name,21,-0.006611570247933883,0.49669421487603305,0,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,accession_GO,sorted_asc,GO_name,21,-0.006611570247933883,0.49669421487603305,0,0,011,13302,141790,,,,,,,,
