file_kind,category,value,count
GAF,Date,20150220,117
GAF,Date,20151022,117
GAF,Date,20151119,117
GAF,Date,20100413,116
GAF,Date,20120329,116
GAF,Date,20130118,116
GAF,Date,20150309,116
GAF,Date,20110316,115
GAF,Date,20111223,115
GAF,Date,20130423,115
GAF,Date,20130502,115
GAF,Date,20140110,115
GAF,Date,20141023,115
GAF,Date,20150702,115
GAF,Date,20150727,115
GAF,Date,20150914,115
GAF,Date,20151218,115
GAF,Date,20100429,114
GAF,Date,20110224,114
GAF,Date,20140128,114
GAF,Date,20140811,114
GAF,Date,20081121,113
GAF,Date,20101221,113
GAF,Date,20110906,113
GAF,Date,20130718,113
GAF,Date,20130927,113
GAF,Date,20150319,113
GAF,Date,20150417,113
GAF,Date,20150910,113
GAF,Date,20090818,112
GAF,Date,20090907,112
GAF,Date,20100625,112
GAF,Date,20110314,112
GAF,Date,20130207,112
GAF,Date,20130522,112
GAF,Date,20131017,112
GAF,Date,20150421,112
GAF,Date,20150622,112
GAF,Date,20090205,111
GAF,Date,20110728,111
GAF,Date,20111116,111
GAF,Date,20150713,111
GAF,Date,20151215,111
GAF,Date,20160114,111
GAF,Date,20080818,110
GAF,Date,20090324,110
GAF,Date,20110111,110
GAF,Date,20110616,110
GAF,Date,20150615,110
GAF,Date,20151124,110
GAF,Date,20070403,109
GAF,Date,20080609,109
GAF,Date,20110414,109
GAF,Date,20111201,109
GAF,Date,20120110,109
GAF,Date,20120919,109
GAF,Date,20140422,109
GAF,Date,20150211,109
GAF,Date,20151126,109
GAF,Date,20151217,109
GAF,Date,20090720,108
GAF,Date,20141202,108
GAF,Date,20080626,107
GAF,Date,20100719,107
GAF,Date,20110718,107
GAF,Date,20121203,107
GAF,Date,20131129,107
GAF,Date,20140313,107
GAF,Date,20160421,107
GAF,Date,20070221,106
GAF,Date,20100204,106
GAF,Date,20110318,106
GAF,Date,20130110,106
GAF,Date,20060116,105
GAF,Date,20090811,105
GAF,Date,20111011,105
GAF,Date,20140804,105
GAF,Date,20150507,105
GAF,Date,20151012,105
GAF,Date,20071018,104
GAF,Date,20090505,104
GAF,Date,20090629,104
GAF,Date,20110429,104
GAF,Date,20120113,104
GAF,Date,20140220,104
GAF,Date,20140317,104
GAF,Date,20140909,104
GAF,Date,20150212,104
GAF,Date,20150728,104
GAF,Date,20150922,104
GAF,Date,20090406,103
GAF,Date,20110420,103
GAF,Date,20120119,103
GAF,Date,20130719,103
GAF,Date,20131122,103
GAF,Date,20140211,103
GAF,Date,20140710,103
GAF,Date,20141119,103
GAF,Date,20150216,103
GAF,Date,20080911,102
GAF,Date,20110126,102
GAF,Date,20110222,102
