source_name,mapping_strategy,evidence_filter,term_scope,comparison_scope,candidate_GO_terms,comparison_genes,label_columns,exact_matches,agreement_at_least_99_percent,agreement_at_least_95_percent,median_best_agreement,mean_best_agreement,minimum_mismatch_genes,mean_mismatch_genes
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6747,4251,121,0,0,0,0.8158080451658434,0.7587091807275294,273,1025.7272727272727
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2826,4251,121,0,0,0,0.8158080451658434,0.7582464796810084,273,1027.6942148760331
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6693,4183,121,0,0,0,0.8154434616304088,0.7587993906860314,267,1008.9421487603306
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2812,4183,121,0,0,0,0.8154434616304088,0.7583311435700978,267,1010.900826446281
GOA human GAF v159 direct BP annotations,all_names_union,all_non_NOT,all_bp,all_4268_resolved_genes,8984,4268,121,0,0,0,0.8095126522961574,0.7566688870471779,294,1038.5371900826447
GOA human GAF v159 direct BP annotations,fallback_synonym_union,all_non_NOT,all_bp,all_4268_resolved_genes,8984,4268,121,0,0,0,0.8095126522961574,0.7571200632033894,294,1036.611570247934
GOA human GAF v159 direct BP annotations,fallback_synonym_union,all_non_NOT,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3386,4268,121,0,0,0,0.8095126522961574,0.7564636309417769,321,1039.4132231404958
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,all_non_NOT,all_bp,all_4268_resolved_genes,8983,4268,121,0,0,0,0.8095126522961574,0.7570968266631554,294,1036.7107438016528
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,all_non_NOT,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3385,4268,121,0,0,0,0.8095126522961574,0.7564365216448372,321,1039.5289256198348
GOA human GAF v159 direct BP annotations,all_names_union,all_non_NOT,all_bp,mapping_covered_genes_only,8984,4267,121,0,0,0,0.8094680103116945,0.7566118607727573,294,1038.5371900826447
GOA human GAF v159 direct BP annotations,fallback_synonym_union,all_non_NOT,all_bp,mapping_covered_genes_only,8984,4253,121,0,0,0,0.8093110745356219,0.7574021643448572,283,1031.7685950413222
GOA human GAF v159 direct BP annotations,fallback_synonym_union,all_non_NOT,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3386,4253,121,0,0,0,0.8093110745356219,0.7567434168977465,310,1034.5702479338843
GOA human GAF v159 direct BP annotations,all_names_union,all_non_NOT,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3386,4268,121,0,0,0,0.8092783505154639,0.7560047092721541,321,1041.3719008264463
GOA human GAF v159 direct BP annotations,primary_symbol_unique,all_non_NOT,all_bp,all_4268_resolved_genes,8908,4268,121,0,0,0,0.8092783505154639,0.7567366602895272,294,1038.2479338842975
GOA human GAF v159 direct BP annotations,primary_symbol_unique,all_non_NOT,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3368,4268,121,0,0,0,0.8092783505154639,0.7560918462980318,320,1041
GOA human GAF v159 direct BP annotations,all_names_union,all_non_NOT,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3386,4267,121,0,0,0,0.8092336536208109,0.755947527343228,321,1041.3719008264463
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,all_non_NOT,all_bp,mapping_covered_genes_only,8983,4251,121,0,0,0,0.8092213596800752,0.7574882720837683,283,1030.9173553719008
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,all_non_NOT,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3385,4251,121,0,0,0,0.8092213596800752,0.7568253264666943,310,1033.7355371900826
GOA human GAF v159 direct BP annotations,primary_symbol_unique,all_non_NOT,all_bp,mapping_covered_genes_only,8908,4183,121,0,0,0,0.8089887640449438,0.7575922219609873,270,1013.99173553719
GOA human GAF v159 direct BP annotations,primary_symbol_unique,all_non_NOT,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3368,4183,121,0,0,0,0.8089887640449438,0.7569343051272072,296,1016.7438016528926
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS_NAS_IC,all_bp,all_4268_resolved_genes,5783,4268,121,0,0,0,0.8088097469540768,0.7548699915573904,297,1046.2148760330579
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS_NAS_IC,all_bp,all_4268_resolved_genes,5783,4268,121,0,0,0,0.8088097469540768,0.7548312639903336,297,1046.3801652892562
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS_NAS_IC,all_bp,mapping_covered_genes_only,5783,4253,121,0,0,0,0.8086056901011052,0.75514415687128,286,1041.3719008264463
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS_NAS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2592,4253,121,0,0,0,0.8086056901011052,0.7546739005816021,309,1043.3719008264463
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_TAS_NAS_IC,all_bp,all_4268_resolved_genes,5783,4268,121,0,0,0,0.8085754451733833,0.7545388708590549,297,1047.6280991735537
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS_IC,all_bp,all_4268_resolved_genes,5658,4268,121,0,0,0,0.8085754451733833,0.7549668104750323,296,1045.801652892562
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_TAS_NAS_IC,all_bp,all_4268_resolved_genes,5729,4268,121,0,0,0,0.8085754451733833,0.7544381791847072,297,1048.0578512396694
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS_IC,all_bp,all_4268_resolved_genes,5658,4268,121,0,0,0,0.8085754451733833,0.7549280829079755,296,1045.9669421487604
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_TAS_NAS_IC,all_bp,mapping_covered_genes_only,5783,4267,121,0,0,0,0.8085305835481603,0.7544813454010889,297,1047.6280991735537
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS_NAS_IC,all_bp,mapping_covered_genes_only,5783,4251,121,0,0,0,0.8085156433780287,0.7552136492920479,286,1040.5867768595042
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS_NAS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2592,4251,121,0,0,0,0.8085156433780287,0.7547392835132618,309,1042.603305785124
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS_IC,all_bp,mapping_covered_genes_only,5658,4253,121,0,0,0,0.8083705619562662,0.7552413172617093,285,1040.9586776859503
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2550,4253,121,0,0,0,0.8083705619562662,0.7547419128549027,309,1043.0826446280992
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_TAS,all_bp,all_4268_resolved_genes,5597,4268,121,0,0,0,0.8083411433926898,0.754670544587048,300,1047.0661157024792
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_TAS_IC,all_bp,all_4268_resolved_genes,5658,4268,121,0,0,0,0.8083411433926898,0.7546627990736366,296,1047.099173553719
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_TAS_IC,all_bp,all_4268_resolved_genes,5604,4268,121,0,0,0,0.8083411433926898,0.754525316210585,296,1047.685950413223
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_TAS_IC,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2535,4268,121,0,0,0,0.8083411433926898,0.754019921460494,321,1049.8429752066115
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_TAS_NAS_IC,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2577,4268,121,0,0,0,0.8083411433926898,0.7539560209748504,321,1050.1157024793388
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_TAS,all_bp,mapping_covered_genes_only,5597,4267,121,0,0,0,0.8082962268572768,0.7546130499877011,300,1047.0661157024792
GOA human GAF v159 direct BP annotations,all_names_union,experimental_plus_TAS_IC,all_bp,mapping_covered_genes_only,5658,4267,121,0,0,0,0.8082962268572768,0.7546053026590769,296,1047.099173553719
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS_IC,all_bp,mapping_covered_genes_only,5658,4251,121,0,0,0,0.8082804046106798,0.7553108553942582,285,1040.1735537190082
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2550,4251,121,0,0,0,0.8082804046106798,0.754807327784809,309,1042.314049586777
