universe,heldout_tissues,heldout_indices,random_samples_conditional,optimized_mean_wup,random_mean_mean_wup,difference_mean_wup,optimized_max_wup,random_mean_max_wup,difference_max_wup,optimized_row_overlap,random_mean_row_overlap,difference_row_overlap,optimized_unique_overlap,random_mean_unique_overlap,difference_unique_overlap,optimized_lookup_micro_f1,random_mean_lookup_micro_f1,difference_lookup_micro_f1,optimized_training_node_total,random_mean_training_node_total,difference_training_node_total,optimized_training_edge_total,random_mean_training_edge_total,difference_training_edge_total
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|testis,27|55|65|126,42,0.208876817627,0.2223514857746306,-0.013474668147630597,0.285714285714,0.2857142984867096,-1.2772709612196564e-08,0.985331173506,0.9840562783536457,0.0012748951523542384,0.960811561979,0.9563712633791424,0.004440298599857617,0.993647255572,0.9932987292607626,0.00034852631123738487,44818.0,44640.880952380954,177.1190476190459,631540.0,627636.1666666666,3903.833333333372
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|uterus,27|55|65|140,33,0.208876817627,0.22371195888880527,-0.014835141261805268,0.285714285714,0.2857142984867096,-1.2772709612196564e-08,0.989292144414,0.988289986595963,0.0010021578180370305,0.970170865914,0.9670203364256656,0.003150529488334386,0.995396180362,0.9950823946432634,0.0003137857187365256,44818.0,44651.51515151515,166.48484848484804,631540.0,627589.9090909091,3950.090909090941
all144,cerebral_cortex|hematopoietic_stem_cell|liver|lung,27|55|68|70,41,0.194329767455,0.22785462729814576,-0.033524859843145766,0.333333333333,0.357723585716108,-0.02439025238310799,0.974075027899,0.9763886317974184,-0.0023136038984183926,0.931451612903,0.9401324376827334,-0.00868082477973331,0.98869830595,0.9899080977207277,-0.001209791770727775,43430.0,44006.439024390245,-576.4390243902453,610119.0,614677.2926829269,-4558.292682926869
all144,cerebral_cortex|hematopoietic_stem_cell|liver|lymph_node,27|55|68|71,24,0.199172563548,0.2304510617007812,-0.03127849815278119,0.333333333333,0.3583333417773247,-0.02500000844432465,0.977905149302,0.9788565809528033,-0.0009514316508032472,0.938969764838,0.9446271980802218,-0.005657433242221788,0.990260642063,0.990753710269928,-0.0004930682069279602,43736.0,44289.583333333336,-553.5833333333358,608713.0,616482.2083333334,-7769.208333333372
all144,cerebral_cortex|hematopoietic_stem_cell|liver|lymphocyte,27|55|68|72,30,0.192637848263,0.22126542727152507,-0.028627579008525056,0.285714285714,0.2984127104282379,-0.012698424714237933,0.971228261859,0.9748884618282319,-0.0036601999692318365,0.926688632619,0.9376899123191833,-0.011001279700183275,0.986926200543,0.9889561136563619,-0.0020299131133619808,43736.0,44509.26666666667,-773.2666666666701,608713.0,620197.3666666667,-11484.366666666698
all144,cerebral_cortex|hematopoietic_stem_cell|liver|ovary,27|55|68|94,34,0.201384032634,0.21799449272015514,-0.016610460086155132,0.25,0.26260504652472105,-0.012605046524721053,0.982830338968,0.9815600602065816,0.0012702787614183864,0.950540540541,0.948028613539303,0.0025119270016970008,0.992575201616,0.9919205044998842,0.0006546971161157655,44714.0,44317.294117647056,396.7058823529442,630117.0,620308.7647058824,9808.235294117592
all144,cerebral_cortex|hematopoietic_stem_cell|liver|placenta,27|55|68|100,32,0.201384032634,0.21814610389992595,-0.016762071265925937,0.25,0.2667410774156451,-0.016741077415645123,0.986603284356,0.9826112799346447,0.0039920044213552774,0.960277259397,0.9521294292062521,0.00814783019074794,0.994243804706,0.9924569744616747,0.0017868302443253548,44714.0,44405.75,308.25,630117.0,622623.40625,7493.59375
all144,cerebral_cortex|hematopoietic_stem_cell|liver|prostate_gland,27|55|68|103,39,0.201384032634,0.21762991371827248,-0.016245881084272468,0.25,0.26465201989198345,-0.014652019891983448,0.984279554438,0.9834618629553379,0.0008176914826620862,0.954883081155,0.953253625295101,0.0016294558598989317,0.993160592376,0.9928286258990948,0.00033196647690514336,44714.0,44385.07692307692,328.92307692307804,630117.0,622344.3076923077,7772.692307692254
all144,cerebral_cortex|hematopoietic_stem_cell|liver|skeletal_muscle,27|55|68|109,36,0.194329767455,0.22774694694413078,-0.03341717948913078,0.333333333333,0.3500000089406967,-0.01666667560769669,0.975463899393,0.980400918258561,-0.0049370188655609715,0.932948612256,0.9469176547394859,-0.01396904248348585,0.989402960482,0.9914782428079181,-0.0020752823259180264,43430.0,44244.77777777778,-814.777777777781,610119.0,619846.5,-9727.5
all144,cerebral_cortex|hematopoietic_stem_cell|liver|skin,27|55|68|110,40,0.194329767455,0.2280538909137249,-0.033724123458724914,0.333333333333,0.35666667520999906,-0.023333341876999036,0.973557034741,0.9784581005573273,-0.004901065816327321,0.928845101259,0.9430213436484337,-0.014176242389433713,0.988560585799,0.9907422587275505,-0.0021816729285505376,43430.0,44197.175,-767.1750000000029,610119.0,619947.425,-9828.425000000047
all144,cerebral_cortex|hematopoietic_stem_cell|liver|small_intestine,27|55|68|112,49,0.189611430236,0.2187047944385178,-0.02909336420251782,0.285714285714,0.2857142984867096,-1.2772709612196564e-08,0.98029335013,0.9845428320826316,-0.00424948195263164,0.944812362031,0.9565594427439631,-0.011747080712963043,0.991716945494,0.9933000693515855,-0.0015831238575855222,43385.0,44280.102040816324,-895.102040816324,610356.0,621013.9795918367,-10657.979591836687
all144,cerebral_cortex|hematopoietic_stem_cell|liver|spleen,27|55|68|118,51,0.199172563548,0.2287711743630615,-0.029598610815061488,0.333333333333,0.3516339957714081,-0.018300662438408055,0.976701248461,0.9799042881703844,-0.003203039709384403,0.937003560668,0.9469444295939278,-0.009940868925927826,0.9897897323,0.9913343740444557,-0.001544641744455677,43736.0,44429.72549019608,-693.7254901960769,608713.0,618178.9803921569,-9465.980392156867
all144,cerebral_cortex|hematopoietic_stem_cell|liver|testis,27|55|68|126,28,0.201384032634,0.21745974197983742,-0.016075709345837408,0.25,0.26530612792287556,-0.015306127922875556,0.979935444474,0.9790693095752171,0.0008661348987829554,0.945037353255,0.9415593083415713,0.003478044913428735,0.991626567282,0.9910862232957568,0.0005403439862432524,44714.0,44346.67857142857,367.32142857142753,630117.0,622536.1428571428,7580.8571428571595
all144,cerebral_cortex|hematopoietic_stem_cell|liver|uterus,27|55|68|140,42,0.201384032634,0.21826642254988352,-0.016882389915883506,0.25,0.26360544704255606,-0.013605447042556063,0.983859134263,0.9815270971684229,0.0023320370945770774,0.953880143607,0.9488696938469297,0.005010449760070368,0.993255967218,0.9921915800798506,0.0010643871381493808,44714.0,44333.380952380954,380.6190476190459,630117.0,620886.8571428572,9230.14285714284
all144,cerebral_cortex|hematopoietic_stem_cell|lung|lymph_node,27|55|70|71,38,0.210923104673,0.24489096277638486,-0.033967858103384874,0.333333333333,0.35964913117258174,-0.02631579783958171,0.980186157958,0.9811101571509713,-0.0009239991929712588,0.947881828317,0.9527005286593186,-0.0048187003423186825,0.991295402491,0.9917817225581721,-0.00048632006717208576,43801.0,44437.65789473684,-636.6578947368398,609347.0,618301.7631578947,-8954.763157894718
all144,cerebral_cortex|hematopoietic_stem_cell|lung|lymphocyte,27|55|70|72,30,0.204388389388,0.23377407292524974,-0.02938568353724974,0.333333333333,0.34666667580604554,-0.013333342473045517,0.973404738132,0.9768206735452016,-0.0034159354132016206,0.937020810515,0.946431181828181,-0.00941037131318101,0.987904018386,0.9896106799443563,-0.0017066615583563038,43801.0,44331.13333333333,-530.1333333333314,609347.0,617201.8333333334,-7854.833333333372
all144,cerebral_cortex|hematopoietic_stem_cell|lung|ovary,27|55|70|94,37,0.211962135087,0.23334361451703148,-0.02138147943003149,0.333333333333,0.36396397207234354,-0.03063063873934352,0.98782317127,0.982316651859799,0.005506519410200972,0.967514889009,0.9531599798718015,0.014354909137198502,0.99453070729,0.992382432963397,0.002148274326603028,44725.0,44291.7027027027,433.29729729730025,629915.0,620363.9189189189,9551.081081081065
all144,cerebral_cortex|hematopoietic_stem_cell|lung|pancreas,27|55|70|96,49,0.194329767455,0.22945744407420254,-0.03512767661920255,0.333333333333,0.34965987290654865,-0.016326539573548626,0.978022932592,0.9815312478007102,-0.0035083152087102,0.941288393585,0.9524105361529759,-0.011122142567975835,0.990936438669,0.9923614591968303,-0.001425020527830223,43430.0,44232.87755102041,-802.8775510204068,610119.0,618568.3265306122,-8449.32653061219
all144,cerebral_cortex|hematopoietic_stem_cell|lung|placenta,27|55|70|100,37,0.211962135087,0.23280836279327805,-0.02084622770627806,0.333333333333,0.3585585669891254,-0.02522523365612539,0.991382281972,0.9835354991861291,0.00784678278587081,0.975825946817,0.9581781593528954,0.01764778746410456,0.996240069974,0.992925039819769,0.003315030154231069,44725.0,44333.81081081081,391.18918918918644,629915.0,619950.6216216217,9964.378378378344
all144,cerebral_cortex|hematopoietic_stem_cell|lung|prostate_gland,27|55|70|103,42,0.211962135087,0.23298900113219306,-0.021026866045193077,0.333333333333,0.3539682626724243,-0.02063492933942429,0.989521762493,0.9865066621984754,0.003015100294524564,0.971640969163,0.9638464947541555,0.0077944744088445095,0.99535821803,0.9940536405358996,0.0013045774941004007,44725.0,44384.52380952381,340.4761904761908,629915.0,621893.1666666666,8021.833333333372
