universe,method,metric,n,mean,sd,q0,q0.01,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,q0.99,q1
all144,branch_distinct_mean_wup,mean_heldout_best_wup,26830,0.22667647003896912,0.01701274468010541,0.181818181818,0.194017094017,0.201971639472,0.206565656566,0.21351010101,0.225,0.2375,0.25,0.258928571429,0.272817460317,0.300595238095
all144,branch_distinct_mean_wup,mean_distance,26830,8.130070816250466,0.6850835557650655,5.5,6.5,7.0,7.2,7.65,8.2,8.65,9.0,9.2,9.55,10.3
all144,branch_distinct_mean_wup,min_distance,26830,5.818486768542676,0.7495207151417393,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0
all144,branch_distinct_mean_wup,mean_heldout_nearest_distance,26830,7.020611256056653,0.6544887962808396,4.75,5.5,6.0,6.25,6.5,7.0,7.5,7.75,8.0,8.5,9.25
all144,branch_distinct_mean_wup,ancestor_descendant_pairs,26830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all144,branch_distinct_mean_wup,train_branch_count,26830,4.869996272828923,1.4040636194877165,2.0,2.0,3.0,3.0,4.0,5.0,5.0,7.0,8.0,8.0,8.0
all144,branch_distinct_mean_wup,heldout_branch_count,26830,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
all144,branch_distinct_mean_wup,training_node_total,26830,40750.596049198655,1574.7968856033956,37874.0,38015.0,38412.0,38945.0,39242.0,40611.0,41636.0,42948.0,43583.0,44302.0,44302.0
all144,branch_distinct_mean_wup,training_edge_total,26830,547657.2770778979,26906.488481995922,497463.0,503772.0,508662.0,516892.0,521550.0,547046.0,560553.0,587250.0,592023.0,611688.0,611688.0
all144,branch_distinct_mean_wup,heldout_node_total,26830,11605.794856503913,636.1025605296686,9829.0,10259.45,10591.0,10792.0,11150.0,11582.0,12040.0,12456.100000000002,12700.0,13096.71,13655.0
all144,branch_distinct_mean_wup,heldout_edge_total,26830,178941.6248975028,11881.072813231014,144025.0,153233.61,159745.35,163606.5,170491.0,178653.5,187137.0,194732.2,199229.2,206210.68,216404.0
all144,branch_distinct_mean_wup,training_internal_layers,26830,4.796347372344391,0.5260106871553024,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0
all144,branch_distinct_mean_wup,heldout_internal_layers,26830,2.124040253447633,0.9554775092769799,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0
all144,branch_distinct_mean_wup,row_overlap,26830,0.9548701821811727,0.03056562238853727,0.815429093122,0.8588486786301199,0.88374148061165,0.9032140024271,0.94863715508875,0.9646589869115,0.97538037100225,0.981838700508,0.98462345213725,0.98884290287464,0.995855312735
all144,branch_distinct_mean_wup,unique_overlap,26830,0.8998679911180693,0.05109051263773044,0.706808819966,0.76568083819082,0.79234320768955,0.810676327077,0.88036556456575,0.9127905852925,0.9361799900095,0.953634880314,0.95996123973115,0.96999136208922,0.987539843524
all144,branch_distinct_mean_wup,positive_coverage,26830,0.9635295165543828,0.027229497256679433,0.837377359015,0.8776262251407501,0.899568744244,0.9169756904679,0.9584697964755,0.9729004205545,0.981692575584,0.9861636663363,0.98822188357145,0.99158060690768,0.997403443772
all144,branch_distinct_mean_wup,lookup_micro_f1,26830,0.9812255106972727,0.014463992289931322,0.911491975131,0.93482527394284,0.94712944394575,0.9566899518008,0.9787945652244999,0.9862640916065,0.9907617232654999,0.9930336387188,0.99407605533005,0.99577250697302,0.998700034169
all144,branch_distinct_minimax_wup,mean_wup,26830,0.20276155714749688,0.014351747777833976,0.16503816649,0.17644008769,0.181981664169,0.185676545677,0.192045038295,0.2007572982575,0.211431207681,0.222126276501,0.229842726718,0.241291486291,0.272084235209
all144,branch_distinct_minimax_wup,max_wup,26830,0.25828597997427094,0.026164465292446856,0.181818181818,0.222222222222,0.222222222222,0.222222222222,0.25,0.25,0.285714285714,0.285714285714,0.285714285714,0.333333333333,0.333333333333
all144,branch_distinct_minimax_wup,mean_heldout_best_wup,26830,0.22667647003896912,0.01701274468010541,0.181818181818,0.194017094017,0.201971639472,0.206565656566,0.21351010101,0.225,0.2375,0.25,0.258928571429,0.272817460317,0.300595238095
all144,branch_distinct_minimax_wup,mean_distance,26830,8.130070816250466,0.6850835557650655,5.5,6.5,7.0,7.2,7.65,8.2,8.65,9.0,9.2,9.55,10.3
all144,branch_distinct_minimax_wup,min_distance,26830,5.818486768542676,0.7495207151417393,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0
all144,branch_distinct_minimax_wup,mean_heldout_nearest_distance,26830,7.020611256056653,0.6544887962808396,4.75,5.5,6.0,6.25,6.5,7.0,7.5,7.75,8.0,8.5,9.25
all144,branch_distinct_minimax_wup,ancestor_descendant_pairs,26830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all144,branch_distinct_minimax_wup,train_branch_count,26830,4.869996272828923,1.4040636194877165,2.0,2.0,3.0,3.0,4.0,5.0,5.0,7.0,8.0,8.0,8.0
all144,branch_distinct_minimax_wup,heldout_branch_count,26830,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
all144,branch_distinct_minimax_wup,training_node_total,26830,40750.596049198655,1574.7968856033956,37874.0,38015.0,38412.0,38945.0,39242.0,40611.0,41636.0,42948.0,43583.0,44302.0,44302.0
all144,branch_distinct_minimax_wup,training_edge_total,26830,547657.2770778979,26906.488481995922,497463.0,503772.0,508662.0,516892.0,521550.0,547046.0,560553.0,587250.0,592023.0,611688.0,611688.0
all144,branch_distinct_minimax_wup,heldout_node_total,26830,11605.794856503913,636.1025605296686,9829.0,10259.45,10591.0,10792.0,11150.0,11582.0,12040.0,12456.100000000002,12700.0,13096.71,13655.0
all144,branch_distinct_minimax_wup,heldout_edge_total,26830,178941.6248975028,11881.072813231014,144025.0,153233.61,159745.35,163606.5,170491.0,178653.5,187137.0,194732.2,199229.2,206210.68,216404.0
all144,branch_distinct_minimax_wup,training_internal_layers,26830,4.796347372344391,0.5260106871553024,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0
all144,branch_distinct_minimax_wup,heldout_internal_layers,26830,2.124040253447633,0.9554775092769799,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0
all144,branch_distinct_minimax_wup,row_overlap,26830,0.9548701821811727,0.03056562238853727,0.815429093122,0.8588486786301199,0.88374148061165,0.9032140024271,0.94863715508875,0.9646589869115,0.97538037100225,0.981838700508,0.98462345213725,0.98884290287464,0.995855312735
all144,branch_distinct_minimax_wup,unique_overlap,26830,0.8998679911180693,0.05109051263773044,0.706808819966,0.76568083819082,0.79234320768955,0.810676327077,0.88036556456575,0.9127905852925,0.9361799900095,0.953634880314,0.95996123973115,0.96999136208922,0.987539843524
all144,branch_distinct_minimax_wup,positive_coverage,26830,0.9635295165543828,0.027229497256679433,0.837377359015,0.8776262251407501,0.899568744244,0.9169756904679,0.9584697964755,0.9729004205545,0.981692575584,0.9861636663363,0.98822188357145,0.99158060690768,0.997403443772
all144,branch_distinct_minimax_wup,lookup_micro_f1,26830,0.9812255106972727,0.014463992289931322,0.911491975131,0.93482527394284,0.94712944394575,0.9566899518008,0.9787945652244999,0.9862640916065,0.9907617232654999,0.9930336387188,0.99407605533005,0.99577250697302,0.998700034169
all144,branch_distinct_coverall_mean_wup,mean_wup,26830,0.2285319871771537,0.014099368234498345,0.188327585405,0.199487214175,0.206680611056,0.210773532024,0.218395493395,0.227628343878,0.237902167277,0.247318098568,0.253506493506,0.26404040404,0.289594155844
all144,branch_distinct_coverall_mean_wup,max_wup,26830,0.34067026959843777,0.030334030368063803,0.25,0.25,0.285714285714,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.4,0.4,0.4,0.4
all144,branch_distinct_coverall_mean_wup,mean_heldout_best_wup,26830,0.2902889176090509,0.023280981978464135,0.22601010101,0.239484126984,0.251984126984,0.260912698413,0.272817460317,0.288888888889,0.305555555556,0.321428571429,0.329166666667,0.35,0.366666666667
all144,branch_distinct_coverall_mean_wup,mean_distance,26830,7.254032799105479,0.5670110197847452,5.15,5.95,6.3,6.5,6.85,7.25,7.65,8.0,8.15,8.45,9.1
all144,branch_distinct_coverall_mean_wup,min_distance,26830,3.9164368244502423,0.5199315334243618,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0
all144,branch_distinct_coverall_mean_wup,mean_heldout_nearest_distance,26830,5.1185613119642195,0.5993680890552244,3.5,3.75,4.25,4.25,4.75,5.0,5.5,6.0,6.25,6.5,7.0
all144,branch_distinct_coverall_mean_wup,ancestor_descendant_pairs,26830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all144,branch_distinct_coverall_mean_wup,train_branch_count,26830,14.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
all144,branch_distinct_coverall_mean_wup,heldout_branch_count,26830,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
all144,branch_distinct_coverall_mean_wup,training_node_total,26830,38315.604696235554,1655.788013832676,33581.0,34542.0,35494.0,36131.0,37106.0,38398.0,39555.0,40181.0,40761.0,41959.0,41959.0
all144,branch_distinct_coverall_mean_wup,training_edge_total,26830,502565.10130450985,32177.480465614644,410163.0,428119.0,446426.0,460479.0,478230.0,503243.0,529228.0,536391.0,548615.0,577158.0,577158.0
all144,branch_distinct_coverall_mean_wup,heldout_node_total,26830,11605.794856503913,636.1025605296686,9829.0,10259.45,10591.0,10792.0,11150.0,11582.0,12040.0,12456.100000000002,12700.0,13096.71,13655.0
all144,branch_distinct_coverall_mean_wup,heldout_edge_total,26830,178941.6248975028,11881.072813231014,144025.0,153233.61,159745.35,163606.5,170491.0,178653.5,187137.0,194732.2,199229.2,206210.68,216404.0
all144,branch_distinct_coverall_mean_wup,training_internal_layers,26830,1.5549757733879985,0.4969777358831812,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
all144,branch_distinct_coverall_mean_wup,heldout_internal_layers,26830,2.124040253447633,0.9554775092769799,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0
all144,branch_distinct_coverall_mean_wup,row_overlap,26830,0.957014150282541,0.02377018392293671,0.837816641832,0.87966841152458,0.90156543620325,0.9223910021581,0.94986711142325,0.9628564699,0.9726877590675,0.980470863931,0.9838608284138,0.98808852401432,0.993951612903
all144,branch_distinct_coverall_mean_wup,unique_overlap,26830,0.9021864946617308,0.04017543009577473,0.746810107581,0.79201997743862,0.81884092730715,0.8427722566323,0.882356693634,0.908941755537,0.9305638900765001,0.9486885469812,0.95702109651695,0.96731907009625,0.98223495702
all144,branch_distinct_coverall_mean_wup,positive_coverage,26830,0.9659580754108884,0.01969691483686935,0.876832330654,0.90019652110931,0.9184169422858499,0.935706717271,0.9612801494365,0.9709310454419999,0.9787248371427499,0.9842290385709,0.9867505886716,0.99020423731982,0.994906612885
all144,branch_distinct_coverall_mean_wup,lookup_micro_f1,26830,0.9825804307636459,0.010369399390989534,0.934374708207,0.947477285752,0.9574737607889501,0.9667856281344,0.98025786852825,0.985251155983,0.9892480437612501,0.9920518442561,0.9933311149348,0.99507801134255,0.997446804235
all144,branch_distinct_node_stratified_mean_wup,mean_wup,26830,0.21080255183789243,0.015428016768415546,0.169998334998,0.18277397533054002,0.188521894772,0.192541347541,0.199358904984,0.208654678655,0.2205501443,0.232083888334,0.238773448773,0.252012987013,0.284901695527
all144,branch_distinct_node_stratified_mean_wup,max_wup,26830,0.3110623916603614,0.04468668748364601,0.2,0.222222222222,0.25,0.25,0.285714285714,0.333333333333,0.333333333333,0.4,0.4,0.4,0.4
all144,branch_distinct_node_stratified_mean_wup,mean_heldout_best_wup,26830,0.26676686800383176,0.03018079378440762,0.186363636364,0.20202020202,0.219065656566,0.230555555556,0.24503968254,0.264285714286,0.28869047619,0.309523809524,0.321428571429,0.338095238095,0.366666666667
all144,branch_distinct_node_stratified_mean_wup,mean_distance,26830,7.830715616846813,0.6755202185720821,5.25,6.2,6.7,6.95,7.35,7.85,8.35,8.65,8.85,9.2,9.95
all144,branch_distinct_node_stratified_mean_wup,min_distance,26830,4.565188222139396,0.9613556167438516,3.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,7.0,8.0
all144,branch_distinct_node_stratified_mean_wup,mean_heldout_nearest_distance,26830,5.767312709653373,0.8572076739761523,3.5,4.0,4.5,4.75,5.25,5.75,6.25,7.0,7.25,8.0,8.75
all144,branch_distinct_node_stratified_mean_wup,ancestor_descendant_pairs,26830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all144,branch_distinct_node_stratified_mean_wup,train_branch_count,26830,5.659970182631382,1.658977094827084,2.0,3.0,3.0,3.0,4.0,6.0,7.0,8.0,8.0,9.0,9.0
all144,branch_distinct_node_stratified_mean_wup,heldout_branch_count,26830,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
all144,branch_distinct_node_stratified_mean_wup,training_node_total,26830,44274.22329481923,792.467021109422,43140.0,43140.0,43186.0,43216.0,43515.0,44244.0,44789.0,45404.0,45611.0,46066.0,46317.0
all144,branch_distinct_node_stratified_mean_wup,training_edge_total,26830,617848.8865076407,13720.68947355986,593882.0,593882.0,598279.0,599917.0,608717.0,617258.0,628575.0,636667.0,642010.0,647632.0,653776.0
all144,branch_distinct_node_stratified_mean_wup,heldout_node_total,26830,11605.794856503913,636.1025605296686,9829.0,10259.45,10591.0,10792.0,11150.0,11582.0,12040.0,12456.100000000002,12700.0,13096.71,13655.0
all144,branch_distinct_node_stratified_mean_wup,heldout_edge_total,26830,178941.6248975028,11881.072813231014,144025.0,153233.61,159745.35,163606.5,170491.0,178653.5,187137.0,194732.2,199229.2,206210.68,216404.0
all144,branch_distinct_node_stratified_mean_wup,training_internal_layers,26830,5.371710771524413,0.9979652129022316,3.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0
all144,branch_distinct_node_stratified_mean_wup,heldout_internal_layers,26830,2.124040253447633,0.9554775092769799,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0
all144,branch_distinct_node_stratified_mean_wup,row_overlap,26830,0.9767255536132347,0.01089465035114716,0.890369383374,0.94792314822245,0.9580046669632001,0.9625103200716001,0.97032843051175,0.9783215799945,0.9850042003489999,0.9889745693069,0.99068094269305,0.99329876772672,0.997550866616
all144,branch_distinct_node_stratified_mean_wup,unique_overlap,26830,0.9418156673130564,0.023540040968403654,0.814344962186,0.88567411266441,0.90025148097515,0.9096925681920001,0.926233766234,0.944027401078,0.960569087038,0.9703366912263001,0.9742217926318499,0.9809716674329699,0.992755722979
all144,branch_distinct_node_stratified_mean_wup,positive_coverage,26830,0.9820062986277032,0.008426468599650072,0.918082443802,0.95797265003293,0.9664884534343999,0.970968169916,0.97719063942175,0.9834181847005,0.9883556746012501,0.9911870136544,0.9925913658637999,0.99465848982371,0.998067977432
