universe,null,block,start,end,metric,mean
all144,matched_stratified,17,850000,900000,role_min_f1,0.9897466613912582
all144,matched_stratified,17,850000,900000,train_nodes,44824.11122
all144,matched_stratified,17,850000,900000,train_edges,627387.09768
all144,matched_stratified,18,900000,950000,mean_wup,0.24787284649789335
all144,matched_stratified,18,900000,950000,row_overlap,0.9796646162819862
all144,matched_stratified,18,900000,950000,f1,0.9920829023361206
all144,matched_stratified,18,900000,950000,role_min_f1,0.9897192406237125
all144,matched_stratified,18,900000,950000,train_nodes,44827.848
all144,matched_stratified,18,900000,950000,train_edges,627456.68792
all144,matched_stratified,19,950000,1000000,mean_wup,0.24779284696429968
all144,matched_stratified,19,950000,1000000,row_overlap,0.9796859591710567
all144,matched_stratified,19,950000,1000000,f1,0.9920914451646805
all144,matched_stratified,19,950000,1000000,role_min_f1,0.9897478853344918
all144,matched_stratified,19,950000,1000000,train_nodes,44825.46052
all144,matched_stratified,19,950000,1000000,train_edges,627420.99416
leaf107,uniform,0,0,50000,mean_wup,0.25037768316924575
leaf107,uniform,0,0,50000,row_overlap,0.9696917454087735
leaf107,uniform,0,0,50000,f1,0.9875876301944256
leaf107,uniform,0,0,50000,role_min_f1,0.9844188391327858
leaf107,uniform,0,0,50000,train_nodes,40526.94272
leaf107,uniform,0,0,50000,train_edges,541968.80414
leaf107,uniform,1,50000,100000,mean_wup,0.25027791734158994
leaf107,uniform,1,50000,100000,row_overlap,0.969570731369257
leaf107,uniform,1,50000,100000,f1,0.9875452219498158
leaf107,uniform,1,50000,100000,role_min_f1,0.9843346001064778
leaf107,uniform,1,50000,100000,train_nodes,40507.62368
leaf107,uniform,1,50000,100000,train_edges,541633.45294
leaf107,uniform,2,100000,150000,mean_wup,0.2503445379897952
leaf107,uniform,2,100000,150000,row_overlap,0.9696399244344235
leaf107,uniform,2,100000,150000,f1,0.9875690887188912
leaf107,uniform,2,100000,150000,role_min_f1,0.9843628962492943
leaf107,uniform,2,100000,150000,train_nodes,40514.0287
leaf107,uniform,2,100000,150000,train_edges,541730.58952
leaf107,uniform,3,150000,200000,mean_wup,0.25023906873077156
leaf107,uniform,3,150000,200000,row_overlap,0.9696204437959194
leaf107,uniform,3,150000,200000,f1,0.9875629251086712
leaf107,uniform,3,150000,200000,role_min_f1,0.984343996821642
leaf107,uniform,3,150000,200000,train_nodes,40504.65606
leaf107,uniform,3,150000,200000,train_edges,541540.7622
leaf107,uniform,4,200000,250000,mean_wup,0.25028177651673555
leaf107,uniform,4,200000,250000,row_overlap,0.9698034660089015
leaf107,uniform,4,200000,250000,f1,0.9876407444179058
leaf107,uniform,4,200000,250000,role_min_f1,0.9844367564165593
leaf107,uniform,4,200000,250000,train_nodes,40518.38892
leaf107,uniform,4,200000,250000,train_edges,541819.70494
leaf107,uniform,5,250000,300000,mean_wup,0.2503695001077652
leaf107,uniform,5,250000,300000,row_overlap,0.9696189218378067
leaf107,uniform,5,250000,300000,f1,0.9875654673600197
leaf107,uniform,5,250000,300000,role_min_f1,0.9843673272538185
leaf107,uniform,5,250000,300000,train_nodes,40514.35652
leaf107,uniform,5,250000,300000,train_edges,541735.50288
