source_type,version,label_column,observed_positive_genes,best_name,best_go_id,best_collection,best_subcollection,best_source_member,best_candidate_positive_genes,mismatch_genes,agreement,true_positives,false_positives,false_negatives,f1,jaccard,tie_count,tied_names,best_go_in_greene_table6,best_go_in_greene_table9
MSigDB 5.1 all collections,5.1,40,599,KAUFFMANN_DNA_REPAIR_GENES,,C2,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c2.all.v5.1.entrez.gmt,134,549,0.8713683223992502,92,42,507,0.25102319236016374,0.1435257410296412,2,KAUFFMANN_DNA_REPAIR_GENES|DNA_REPAIR,False,False
MSigDB 5.1 all collections,5.1,41,900,ORGAN_DEVELOPMENT,GO:0048513,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,337,835,0.8043580131208997,201,136,699,0.3249797898140663,0.19401544401544402,1,ORGAN_DEVELOPMENT,False,False
MSigDB 5.1 all collections,5.1,42,794,REGULATION_OF_MOLECULAR_FUNCTION,GO:0065009,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,220,686,0.8392689784442362,164,56,630,0.3234714003944773,0.19294117647058823,1,REGULATION_OF_MOLECULAR_FUNCTION,False,False
MSigDB 5.1 all collections,5.1,43,880,REGULATION_OF_BIOLOGICAL_QUALITY,GO:0065008,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,281,789,0.8151358950328023,186,95,694,0.32041343669250644,0.19076923076923077,1,REGULATION_OF_BIOLOGICAL_QUALITY,False,False
MSigDB 5.1 all collections,5.1,44,550,PID_ECADHERIN_KERATINOCYTE_PATHWAY,,C2,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c2.all.v5.1.entrez.gmt,18,542,0.873008434864105,13,5,537,0.045774647887323945,0.023423423423423424,2,PID_ECADHERIN_KERATINOCYTE_PATHWAY|REACTOME_PECAM1_INTERACTIONS,False,False
MSigDB 5.1 all collections,5.1,45,1124,REGULATION_OF_GENE_EXPRESSION,GO:0010468,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,411,877,0.7945173383317713,329,82,795,0.4286644951140065,0.2728026533996683,1,REGULATION_OF_GENE_EXPRESSION,False,False
MSigDB 5.1 all collections,5.1,46,1486,BIOPOLYMER_METABOLIC_PROCESS,GO:0043283,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,914,1238,0.7099343955014058,581,333,905,0.4841666666666667,0.3194062671797691,1,BIOPOLYMER_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,47,1522,BIOPOLYMER_METABOLIC_PROCESS,GO:0043283,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,914,1264,0.703842549203374,586,328,936,0.48111658456486045,0.31675675675675674,1,BIOPOLYMER_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,48,948,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,,C2,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c2.all.v5.1.entrez.gmt,67,905,0.7879568884723525,55,12,893,0.10837438423645321,0.057291666666666664,1,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,False,False
MSigDB 5.1 all collections,5.1,49,882,REGULATION_OF_PROTEIN_METABOLIC_PROCESS,GO:0051246,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,130,818,0.8083411433926898,97,33,785,0.191699604743083,0.10601092896174863,1,REGULATION_OF_PROTEIN_METABOLIC_PROCESS,False,False
